<frozen runpy>:128: RuntimeWarning: 'data.loader' found in sys.modules after import of package 'data', but prior to execution of 'data.loader'; this may result in unpredictable behaviour
2026-05-20 10:36:00,536 [INFO] __main__: Downloading dataset: ManikaSaini/zomato-restaurant-recommendation
2026-05-20 10:36:01,378 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/datasets/ManikaSaini/zomato-restaurant-recommendation/resolve/main/README.md "HTTP/1.1 404 Not Found"
2026-05-20 10:36:01,963 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/datasets/ManikaSaini/zomato-restaurant-recommendation "HTTP/1.1 200 OK"
2026-05-20 10:36:02,420 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/datasets/ManikaSaini/zomato-restaurant-recommendation/resolve/5738e9eda2fad49ad51c6e0ed26e761d9b947133/zomato-restaurant-recommendation.py "HTTP/1.1 404 Not Found"
2026-05-20 10:36:03,481 [INFO] httpx: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/ManikaSaini/zomato-restaurant-recommendation/ManikaSaini/zomato-restaurant-recommendation.py "HTTP/1.1 404 Not Found"
2026-05-20 10:36:03,804 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/datasets/ManikaSaini/zomato-restaurant-recommendation/resolve/5738e9eda2fad49ad51c6e0ed26e761d9b947133/README.md "HTTP/1.1 404 Not Found"
2026-05-20 10:36:04,113 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/datasets/ManikaSaini/zomato-restaurant-recommendation/revision/5738e9eda2fad49ad51c6e0ed26e761d9b947133 "HTTP/1.1 200 OK"
2026-05-20 10:36:04,431 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/datasets/ManikaSaini/zomato-restaurant-recommendation/resolve/5738e9eda2fad49ad51c6e0ed26e761d9b947133/.huggingface.yaml "HTTP/1.1 404 Not Found"
2026-05-20 10:36:05,139 [INFO] httpx: HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=ManikaSaini/zomato-restaurant-recommendation "HTTP/1.1 200 OK"
2026-05-20 10:36:05,457 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/datasets/ManikaSaini/zomato-restaurant-recommendation/tree/5738e9eda2fad49ad51c6e0ed26e761d9b947133/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"
2026-05-20 10:36:05,798 [INFO] httpx: HTTP Request: GET https://huggingface.co/api/datasets/ManikaSaini/zomato-restaurant-recommendation/tree/5738e9eda2fad49ad51c6e0ed26e761d9b947133?recursive=false&expand=false "HTTP/1.1 200 OK"
2026-05-20 10:36:06,208 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/datasets/ManikaSaini/zomato-restaurant-recommendation/resolve/5738e9eda2fad49ad51c6e0ed26e761d9b947133/dataset_infos.json "HTTP/1.1 404 Not Found"
2026-05-20 23:28:33,318 [INFO] httpx: HTTP Request: HEAD https://huggingface.co/datasets/ManikaSaini/zomato-restaurant-recommendation/resolve/5738e9eda2fad49ad51c6e0ed26e761d9b947133/zomato.csv "HTTP/1.1 302 Found"
